seed,weight_scheme,r2_minus8,r2_minus16,delta_r2_minus16_minus8,delta_rmse_kw_m2_minus16_minus8,delta_near_onb_rmse_kw_m2_minus16_minus8,delta_misses_minus16_minus8
42,condition_specific,0.8541840088994139,0.8846781230402533,0.030494114140839357,-11.50997490576404,-20.276725210948825,6
42,fixed_minus8,0.8541840088994139,0.8864478437535696,0.032263834854155626,-12.222268309223452,-18.812128203408605,5
42,fixed_minus16,0.8565646824148772,0.8846781230402533,0.02811344062537613,-10.657630616478258,-19.75127621951961,6
42,fixed_pair_mean,0.8554681392505898,0.8856413028422571,0.030173163591667218,-11.438080038104218,-19.279270371473814,6
42,equal,0.8594437202980443,0.8815306208064971,0.022086900508452856,-8.363891224037616,-19.827780371282586,5
43,condition_specific,0.8688459054868197,0.850058928859078,-0.018786976627741758,6.826880677304274,26.59734515112686,14
43,fixed_minus8,0.8688459054868197,0.8514812345034171,-0.017364670983402664,6.325577540824824,28.137419159639876,14
43,fixed_minus16,0.8702259815205473,0.850058928859078,-0.020167052661469342,7.347108170083018,27.42722460632322,15
43,fixed_pair_mean,0.8697108458225108,0.8509135506838097,-0.018797295138701098,6.851671007321627,27.797819201040056,12
43,equal,0.8698453062013771,0.8543990018154581,-0.015446304385918985,5.6660719105699116,25.65170132645369,13
44,condition_specific,0.8460686532726928,0.8607525959960202,0.014683942723327403,-5.223504215313724,-5.289076748409059,0
44,fixed_minus8,0.8460686532726928,0.863280436461099,0.017211783188406216,-6.15006703658716,-3.6209610935485443,1
44,fixed_minus16,0.8501502670175028,0.8607525959960202,0.010602328978517317,-3.7975336928021193,-4.150068051602091,1
44,fixed_pair_mean,0.8488889231201358,0.8624736945393505,0.01358477141921477,-4.870186618048251,-3.863875660008233,3
44,equal,0.8488391271179674,0.8618644738367593,0.013025346718791964,-4.6641994720962145,-4.116860890892582,2
