seed,snr,weight_scheme,r2,rmse_kw_m2,mae_kw_m2,near_onb_rmse_kw_m2,misses,false_alarms,weight_randomforest,weight_conformer,weight_alexnet
42,-8,condition_specific,0.8541840088994139,103.98406205864407,75.3179273152193,192.86272841322312,110,0,0.19594509781966502,0.5328594369833082,0.27119546519702675
42,-8,fixed_minus8,0.8541840088994139,103.98406205864407,75.3179273152193,192.86272841322312,110,0,0.19594509781966502,0.5328594369833082,0.27119546519702675
42,-8,fixed_minus16,0.8565646824148772,103.13171776935829,74.78177754312054,192.3372794217939,110,0,0.250809135916919,0.4424485991167922,0.30674226496628887
42,-8,fixed_pair_mean,0.8554681392505898,103.525181067048,74.97805509543937,192.59206395376162,110,0,0.223377116868292,0.48765401805005015,0.2889688650816578
42,-8,equal,0.8594437202980443,102.0914397605076,74.6696167640893,191.14455078469544,110,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
42,-16,condition_specific,0.8846781230402533,92.47408715288003,72.82259657658827,172.5860032022743,116,0,0.250809135916919,0.4424485991167922,0.30674226496628887
42,-16,fixed_minus8,0.8864478437535696,91.76179374942062,70.88571684708386,174.05060020981452,115,0,0.19594509781966502,0.5328594369833082,0.27119546519702675
42,-16,fixed_minus16,0.8846781230402533,92.47408715288003,72.82259657658827,172.5860032022743,116,0,0.250809135916919,0.4424485991167922,0.30674226496628887
42,-16,fixed_pair_mean,0.8856413028422571,92.08710102894378,71.82691920208936,173.3127935822878,116,0,0.223377116868292,0.48765401805005015,0.2889688650816578
42,-16,equal,0.8815306208064971,93.72754853646998,75.3084771593471,171.31677041341285,115,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
43,-8,condition_specific,0.8688459054868197,98.61775880426543,77.77797563095335,170.01481869372194,111,0,0.27616914358532396,0.34748328416577356,0.37634757224890253
43,-8,fixed_minus8,0.8688459054868197,98.61775880426543,77.77797563095335,170.01481869372194,111,0,0.27616914358532396,0.34748328416577356,0.37634757224890253
43,-8,fixed_minus16,0.8702259815205473,98.09753131148669,78.39081872773826,169.18493923852557,110,0,0.4021680559624097,0.25019374219367224,0.3476382018439181
43,-8,fixed_pair_mean,0.8697108458225108,98.29203669917008,78.03047175254048,169.57560858182356,112,0,0.3391685997738668,0.2988385131797229,0.3619928870464103
43,-8,equal,0.8698453062013771,98.24130417191013,77.60424212865175,170.45036946865386,111,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
43,-16,condition_specific,0.850058928859078,105.44463948156971,83.70087936420812,196.6121638448488,125,0,0.4021680559624097,0.25019374219367224,0.3476382018439181
43,-16,fixed_minus8,0.8514812345034171,104.94333634509026,82.17665879305801,198.1522378533618,125,0,0.27616914358532396,0.34748328416577356,0.37634757224890253
43,-16,fixed_minus16,0.850058928859078,105.44463948156971,83.70087936420812,196.6121638448488,125,0,0.4021680559624097,0.25019374219367224,0.3476382018439181
43,-16,fixed_pair_mean,0.8509135506838097,105.14370770649171,82.93556637586045,197.37342778286362,124,0,0.3391685997738668,0.2988385131797229,0.3619928870464103
43,-16,equal,0.8543990018154581,103.90737608248004,81.47618917069053,196.10207079510755,124,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
44,-8,condition_specific,0.8460686532726928,106.83848876377118,77.45657189503832,198.4285012137281,120,0,0.2330919596583103,0.45497429873212014,0.3119337416095695
44,-8,fixed_minus8,0.8460686532726928,106.83848876377118,77.45657189503832,198.4285012137281,120,0,0.2330919596583103,0.45497429873212014,0.3119337416095695
44,-8,fixed_minus16,0.8501502670175028,105.41251824125958,77.93135394247965,197.28949251692114,119,0,0.400807419191239,0.2624383243824576,0.33675425642630347
44,-8,fixed_pair_mean,0.8488889231201358,105.85523778519253,77.28151509301559,197.8081490445213,118,0,0.31694968942477464,0.3587063115572889,0.3243439990179365
44,-8,equal,0.8488391271179674,105.87267771605484,77.4584578257713,198.03307572265044,118,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
44,-16,condition_specific,0.8607525959960202,101.61498454845746,78.17773713520448,193.13942446531905,120,0,0.400807419191239,0.2624383243824576,0.33675425642630347
44,-16,fixed_minus8,0.863280436461099,100.68842172718402,74.91545719475951,194.80754012017957,121,0,0.2330919596583103,0.45497429873212014,0.3119337416095695
44,-16,fixed_minus16,0.8607525959960202,101.61498454845746,78.17773713520448,193.13942446531905,120,0,0.400807419191239,0.2624383243824576,0.33675425642630347
44,-16,fixed_pair_mean,0.8624736945393505,100.98505116714428,76.48223923105279,193.94427338451305,121,0,0.31694968942477464,0.3587063115572889,0.3243439990179365
44,-16,equal,0.8618644738367593,101.20847824395862,76.95894837465603,193.91621483175786,120,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
