experiment,maxfreq,run_hash,strategy,evaluation_unit,aggregation,metric,model_key,model_label,noise,value,standard_error,error_bar_definition,threshold,n_wavs,claim_safe,source_csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,cnntf_v2_gap,CNN+Transformer,-8,0.937269,0.00932,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-8\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-8.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,cnntf_v2_gap,CNN+Transformer,-12,0.924074,0.024074,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-12\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-12.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,cnntf_v2_gap,CNN+Transformer,-16,0.909491,0.045255,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-16\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-16.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,cnntf_v2_gap,CNN+Transformer,-20,0.728472,0.100349,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-20\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-20.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,alexnet,AlexNet,no_noise,0.922454,0.043101,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,alexnet,AlexNet,0,0.888426,0.008032,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,alexnet,AlexNet,-4,0.91412,0.017181,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,alexnet,AlexNet,-8,0.882407,0.012963,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-8\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-8.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,alexnet,AlexNet,-12,0.908565,0.02628,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-12\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-12.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,alexnet,AlexNet,-16,0.819907,0.04615,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-16\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-16.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,alexnet,AlexNet,-20,0.821065,0.107914,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-20\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-20.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,ensemble__simple_equal,Ensemble,no_noise,0.923843,0.037952,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_no_noise\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_no_noise.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,ensemble__simple_equal,Ensemble,0,0.921296,0.019598,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=0\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_0.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,ensemble__simple_equal,Ensemble,-4,0.930787,0.031068,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-4\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-4.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,ensemble__simple_equal,Ensemble,-8,0.925,0.033679,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-8\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-8.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,ensemble__simple_equal,Ensemble,-12,0.925463,0.033162,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-12\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-12.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,ensemble__simple_equal,Ensemble,-16,0.918519,0.039425,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-16\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-16.csv
2025.06.18_0.3_3,maxfreq=22kHz,b7a267,simple_equal,chunk,fold_mean,auc_binary,ensemble__simple_equal,Ensemble,-20,0.923843,0.036704,fold_standard_error,271677.6816,,,\\?\C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\regression_result\npy\ensemble\20260903_selected_log_architecture\heatflux_reference_SNR=-20\maxfreq=22kHz\e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp\metrics_summary_-20.csv
