snr,model,chunks,wavs,r2,rmse_kw_m2,mae_kw_m2,sse_w_m2_squared,near_onb_chunks,near_onb_rmse_kw_m2,misses,false_alarms
no_noise,randomforest,1080,18,0.8500694630836332,105.44093536963993,84.44308442345555,12007214119754.553,60,186.26921022827605,103,2
no_noise,conformer,1080,18,0.9171988767773844,78.3578147530004,61.45340051481545,6631142903494.768,60,142.3522023031839,112,0
no_noise,alexnet,1080,18,0.8925770187311466,89.25094070851685,74.9383352410075,8602988850743.605,60,119.63179247405196,129,0
no_noise,ensemble__inner_holdout,1080,18,0.918384662279744,77.79471476762377,61.13020984969405,6536179057438.018,60,140.97437338525023,114,0
no_noise,equal_offline,1080,18,0.9147666018614051,79.50036151386463,61.67752385585181,6825932079301.98,60,146.03563803123672,113,0
-8,randomforest,1080,18,0.8576771319196097,102.73100701912995,83.35673773627282,11397952587417.688,60,181.56905146300045,103,2
-8,conformer,1080,18,0.526747652592364,187.33140491922455,143.43297620831027,37900499690531.31,60,87.67365941114235,0,480
-8,alexnet,1080,18,0.762354201093264,132.74839300743332,97.36883035259379,19031906713740.45,60,15.768382338839452,67,182
-8,ensemble__inner_holdout,1080,18,0.7372772616350021,139.57673429853304,101.24015953904374,21040197938038.75,60,22.558091575490028,22,369
-8,equal_offline,1080,18,0.8258495049567796,113.63877891597191,82.35818901252343,13946873839394.193,60,36.7940954874454,102,2
-16,randomforest,1080,18,0.870413214153276,98.02674022071152,80.94315097781217,10377981142162.771,60,163.37961763664714,98,2
-16,conformer,1080,18,-0.27556753237155274,307.55014065899314,252.27217508242882,102154056140915.78,60,252.17017886708672,0,480
-16,alexnet,1080,18,0.7208185189317793,143.88234429285905,111.01421883088045,22358299319145.535,60,22.15345359031638,9,428
-16,ensemble__inner_holdout,1080,18,0.44193193243556883,203.42662239109876,150.76413333873427,44692981953246.734,60,115.33974951590413,0,480
-16,equal_offline,1080,18,0.689443380775241,151.7520605857131,107.544565014495,24870982923370.73,60,44.564582593295455,2,472
-20,randomforest,1080,18,0.8563543644949516,103.20730062935802,83.45470291929348,11503886655454.578,60,140.4054301403419,81,54
-20,conformer,1080,18,-0.9308504018924879,378.38901090741604,318.46033246400606,154632503061532.03,60,343.8887247010756,0,480
-20,alexnet,1080,18,0.6131736505459165,169.36443841532585,134.84897454011545,30979058039717.8,60,54.55080985922607,0,480
-20,ensemble__inner_holdout,1080,18,0.15230365289235825,250.71733200752723,194.62926652064723,67887915014490.445,60,182.5970336520195,0,480
-20,equal_offline,1080,18,0.525945565975336,187.49008601463507,138.500184347288,37964734942077.28,60,100.33687895481526,0,480
