seed,snr,model,fit_role,epoch,training_loss
42,-8,AlexNet,full_training,120,0.00129598
42,-8,AlexNet,full_training,130,0.00109904
42,-8,AlexNet,full_training,140,0.00104627
42,-8,AlexNet,full_training,150,0.000813533
42,-8,AlexNet,full_training,160,0.000932906
42,-8,AlexNet,full_training,170,0.000839573
42,-8,AlexNet,full_training,180,0.000823938
42,-8,AlexNet,full_training,190,0.000675099
42,-8,AlexNet,full_training,200,0.000686014
42,-16,AlexNet,inner_weight_fit,10,0.0151532
42,-16,AlexNet,inner_weight_fit,20,0.00876781
42,-16,AlexNet,inner_weight_fit,30,0.007823
42,-16,AlexNet,inner_weight_fit,40,0.00697548
42,-16,AlexNet,inner_weight_fit,50,0.00652034
42,-16,AlexNet,inner_weight_fit,60,0.00621905
42,-16,AlexNet,inner_weight_fit,70,0.00574327
42,-16,AlexNet,inner_weight_fit,80,0.00549196
42,-16,AlexNet,inner_weight_fit,90,0.0050505
42,-16,AlexNet,inner_weight_fit,100,0.00412406
42,-16,AlexNet,inner_weight_fit,110,0.00349675
42,-16,AlexNet,inner_weight_fit,120,0.00201457
42,-16,AlexNet,inner_weight_fit,130,0.00145766
42,-16,AlexNet,inner_weight_fit,140,0.00141719
42,-16,AlexNet,inner_weight_fit,150,0.00116375
42,-16,AlexNet,inner_weight_fit,160,0.00110969
42,-16,AlexNet,inner_weight_fit,170,0.000864933
42,-16,AlexNet,inner_weight_fit,180,0.000986719
42,-16,AlexNet,inner_weight_fit,190,0.000867256
42,-16,AlexNet,inner_weight_fit,200,0.000701094
42,-16,AlexNet,full_training,10,0.00910368
42,-16,AlexNet,full_training,20,0.00613631
42,-16,AlexNet,full_training,30,0.00478388
42,-16,AlexNet,full_training,40,0.00434787
42,-16,AlexNet,full_training,50,0.00395515
42,-16,AlexNet,full_training,60,0.00368225
42,-16,AlexNet,full_training,70,0.0035349
42,-16,AlexNet,full_training,80,0.00325727
42,-16,AlexNet,full_training,90,0.00331242
42,-16,AlexNet,full_training,100,0.00332708
42,-16,AlexNet,full_training,110,0.00304842
42,-16,AlexNet,full_training,120,0.00259523
42,-16,AlexNet,full_training,130,0.00222992
42,-16,AlexNet,full_training,140,0.0019327
42,-16,AlexNet,full_training,150,0.0012577
42,-16,AlexNet,full_training,160,0.00107062
42,-16,AlexNet,full_training,170,0.000909836
42,-16,AlexNet,full_training,180,0.000868986
42,-16,AlexNet,full_training,190,0.000873888
42,-16,AlexNet,full_training,200,0.000830409
43,-8,Conformer,inner_weight_fit,10,0.00930835
43,-8,Conformer,inner_weight_fit,20,0.00626388
43,-8,Conformer,inner_weight_fit,30,0.00524244
43,-8,Conformer,inner_weight_fit,40,0.00413989
43,-8,Conformer,inner_weight_fit,50,0.00272083
43,-8,Conformer,inner_weight_fit,60,0.00226719
43,-8,Conformer,inner_weight_fit,70,0.00210181
43,-8,Conformer,inner_weight_fit,80,0.00147068
43,-8,Conformer,inner_weight_fit,90,0.00163389
43,-8,Conformer,inner_weight_fit,100,0.000914852
43,-8,Conformer,inner_weight_fit,110,0.00101999
43,-8,Conformer,inner_weight_fit,120,0.00077008
43,-8,Conformer,inner_weight_fit,130,0.000676821
43,-8,Conformer,inner_weight_fit,140,0.00078898
43,-8,Conformer,inner_weight_fit,150,0.00073503
43,-8,Conformer,inner_weight_fit,160,0.000660383
43,-8,Conformer,inner_weight_fit,170,0.000720381
43,-8,Conformer,inner_weight_fit,180,0.000607601
43,-8,Conformer,inner_weight_fit,190,0.000612308
43,-8,Conformer,inner_weight_fit,200,0.000500659
43,-8,Conformer,full_training,10,0.0106652
43,-8,Conformer,full_training,20,0.00538672
43,-8,Conformer,full_training,30,0.00418237
43,-8,Conformer,full_training,40,0.00405331
43,-8,Conformer,full_training,50,0.0022434
43,-8,Conformer,full_training,60,0.00242445
43,-8,Conformer,full_training,70,0.00147358
43,-8,Conformer,full_training,80,0.00124717
43,-8,Conformer,full_training,90,0.000854427
43,-8,Conformer,full_training,100,0.00107493
43,-8,Conformer,full_training,110,0.000838136
43,-8,Conformer,full_training,120,0.000809297
43,-8,Conformer,full_training,130,0.00106041
43,-8,Conformer,full_training,140,0.000612888
43,-8,Conformer,full_training,150,0.00077873
43,-8,Conformer,full_training,160,0.000463393
43,-8,Conformer,full_training,170,0.000447737
43,-8,Conformer,full_training,180,0.000422624
43,-8,Conformer,full_training,190,0.000478737
43,-8,Conformer,full_training,200,0.000414983
43,-16,Conformer,inner_weight_fit,10,0.0107786
43,-16,Conformer,inner_weight_fit,20,0.0071466
43,-16,Conformer,inner_weight_fit,30,0.00624781
43,-16,Conformer,inner_weight_fit,40,0.00525759
43,-16,Conformer,inner_weight_fit,50,0.00404944
43,-16,Conformer,inner_weight_fit,60,0.00349105
43,-16,Conformer,inner_weight_fit,70,0.00316728
43,-16,Conformer,inner_weight_fit,80,0.00267088
43,-16,Conformer,inner_weight_fit,90,0.00272976
43,-16,Conformer,inner_weight_fit,100,0.0015577
43,-16,Conformer,inner_weight_fit,110,0.00155749
43,-16,Conformer,inner_weight_fit,120,0.00128014
43,-16,Conformer,inner_weight_fit,130,0.00123729
43,-16,Conformer,inner_weight_fit,140,0.000971838
43,-16,Conformer,inner_weight_fit,150,0.00117429
43,-16,Conformer,inner_weight_fit,160,0.00118678
43,-16,Conformer,inner_weight_fit,170,0.000769547
43,-16,Conformer,inner_weight_fit,180,0.000665574
43,-16,Conformer,inner_weight_fit,190,0.000755536
43,-16,Conformer,inner_weight_fit,200,0.000667083
43,-16,Conformer,full_training,10,0.0102849
43,-16,Conformer,full_training,20,0.00574212
43,-16,Conformer,full_training,30,0.00487805
43,-16,Conformer,full_training,40,0.00501503
43,-16,Conformer,full_training,50,0.00384956
43,-16,Conformer,full_training,60,0.00393647
43,-16,Conformer,full_training,70,0.00337972
43,-16,Conformer,full_training,80,0.00281608
43,-16,Conformer,full_training,90,0.00212249
43,-16,Conformer,full_training,100,0.00271495
43,-16,Conformer,full_training,110,0.00183345
43,-16,Conformer,full_training,120,0.00175275
43,-16,Conformer,full_training,130,0.00142372
43,-16,Conformer,full_training,140,0.0010164
43,-16,Conformer,full_training,150,0.000978773
43,-16,Conformer,full_training,160,0.000661689
43,-16,Conformer,full_training,170,0.000676087
43,-16,Conformer,full_training,180,0.000465864
43,-16,Conformer,full_training,190,0.000552042
43,-16,Conformer,full_training,200,0.000510848
43,-8,AlexNet,inner_weight_fit,10,0.0100635
43,-8,AlexNet,inner_weight_fit,20,0.00595785
43,-8,AlexNet,inner_weight_fit,30,0.00460859
43,-8,AlexNet,inner_weight_fit,40,0.00415049
43,-8,AlexNet,inner_weight_fit,50,0.00414131
43,-8,AlexNet,inner_weight_fit,60,0.00391891
43,-8,AlexNet,inner_weight_fit,70,0.00339044
43,-8,AlexNet,inner_weight_fit,80,0.00315058
43,-8,AlexNet,inner_weight_fit,90,0.00296127
43,-8,AlexNet,inner_weight_fit,100,0.00257277
43,-8,AlexNet,inner_weight_fit,110,0.00191907
43,-8,AlexNet,inner_weight_fit,120,0.00158326
43,-8,AlexNet,inner_weight_fit,130,0.00139053
43,-8,AlexNet,inner_weight_fit,140,0.00148843
43,-8,AlexNet,inner_weight_fit,150,0.0013792
43,-8,AlexNet,inner_weight_fit,160,0.00100403
43,-8,AlexNet,inner_weight_fit,170,0.00101334
43,-8,AlexNet,inner_weight_fit,180,0.000845197
43,-8,AlexNet,inner_weight_fit,190,0.000957624
43,-8,AlexNet,inner_weight_fit,200,0.000921227
43,-8,AlexNet,full_training,10,0.00918268
43,-8,AlexNet,full_training,20,0.00611778
43,-8,AlexNet,full_training,30,0.0047576
43,-8,AlexNet,full_training,40,0.00420689
43,-8,AlexNet,full_training,50,0.00384915
43,-8,AlexNet,full_training,60,0.00282977
43,-8,AlexNet,full_training,70,0.00273624
43,-8,AlexNet,full_training,80,0.00191597
43,-8,AlexNet,full_training,90,0.00181852
43,-8,AlexNet,full_training,100,0.00138025
