seed,snr,model,r2,rmse_kw_m2,mae_kw_m2,near_onb_rmse_kw_m2,misses,false_alarms,sse_w_m2_squared,weight_randomforest,weight_conformer,weight_alexnet
42,-8,randomforest,0.8598941886536378,101.92771221407496,81.60929084900084,173.72733820166866,105,2,11220399198570.906,,,
42,-8,conformer,0.8396780395450378,109.03368979048237,81.25138109421113,193.04682663188174,112,0,12839413150073.31,,,
42,-8,alexnet,0.821926900126846,114.91146493524003,82.28412008024303,212.31108575130156,115,0,14261016355447.934,,,
42,-8,ensemble__inner_holdout,0.8541840088994139,103.98406205864407,75.3179273152193,192.86272841322312,110,0,11677699975193.213,0.19594509781966502,0.5328594369833082,0.27119546519702675
42,-8,equal_offline,0.8594437202980444,102.0914397605076,74.6696167640893,191.14455078469544,110,0,11256475038163.219,,,
42,-16,randomforest,0.8586655618366609,102.37365292852286,82.70363873965248,179.8987588292451,107,2,11318793999044.03,,,
42,-16,conformer,0.8837772513249375,92.83457914742402,64.73941369336232,184.78431316155337,114,0,9307719812317.684,,,
42,-16,alexnet,0.8640579516658049,100.4017092869039,87.19556214288365,154.41115121354977,130,0,10886943485950.52,,,
42,-16,ensemble__inner_holdout,0.8846781230402533,92.47408715288003,72.82259657658827,172.5860032022743,116,0,9235573338339.129,0.250809135916919,0.4424485991167922,0.30674226496628887
42,-16,equal_offline,0.8815306208064971,93.72754853646997,75.30847715934709,171.3167704134128,115,0,9487641623028.84,,,
43,-8,randomforest,0.8596621064567511,102.0120977902473,81.63388650958649,174.29914367793418,105,2,11238985543212.336,,,
43,-8,conformer,0.8561016927962908,103.29803121919686,75.58627182357493,185.4892756498151,113,0,11524121914063.143,,,
43,-8,alexnet,0.8487477268570494,105.90468113017812,85.82364557178752,159.73016085165017,124,0,12113065604107.48,,,
43,-8,ensemble__inner_holdout,0.8688459054868197,98.61775880426543,77.77797563095335,170.01481869372194,111,0,10503499339702.377,0.27616914358532396,0.34748328416577356,0.37634757224890253
43,-8,equal_offline,0.8698453062013771,98.24130417191012,77.60424212865173,170.45036946865386,111,0,10423462153029.586,,,
43,-16,randomforest,0.8574650492465263,102.80752092112924,83.16404262598348,180.63590556073476,107,2,11414937266584.3,,,
43,-16,conformer,0.8751802749267311,96.20680954666823,71.02723849260065,183.62219400693218,121,0,9996210219400.805,,,
43,-16,alexnet,0.7691246103970599,130.84376201256998,107.73409363532433,227.85558221937504,132,0,18489697262210.22,,,
43,-16,ensemble__inner_holdout,0.850058928859078,105.44463948156971,83.70087936420812,196.6121638448488,125,0,12008057755030.068,0.4021680559624097,0.25019374219367224,0.3476382018439181
43,-16,equal_offline,0.8543990018154581,103.90737608248003,81.47618917069052,196.10207079510755,124,0,11660482228693.62,,,
44,-8,randomforest,0.8590234047904282,102.24397148524211,81.82770938405754,174.92460285105167,105,2,11290136081481.002,,,
44,-8,conformer,0.8356181463319204,110.4056092202685,85.33538008470256,187.20201562243957,120,0,13164550431082.525,,,
44,-8,alexnet,0.7831028525427736,126.82098500306695,91.88754981361235,238.0469990787347,132,0,17370247216119.98,,,
44,-8,ensemble__inner_holdout,0.8460686532726928,106.83848876377118,77.45657189503832,198.4285012137281,120,0,12327619695832.578,0.2330919596583103,0.45497429873212014,0.3119337416095695
44,-8,equal_offline,0.8488391271179674,105.87267771605482,77.45845782577129,198.03307572265044,118,0,12105745797709.021,,,
44,-16,randomforest,0.8586722276053633,102.37123877119959,82.62061562906219,180.15468423944145,107,2,11318260169753.951,,,
44,-16,conformer,0.8645552895453631,100.2178834306686,71.33336600813637,192.5006657276454,124,0,10847114092068.928,,,
44,-16,alexnet,0.8193901030968378,115.7270743780431,90.48811644899318,213.10251356283723,129,0,14464176203629.207,,,
44,-16,ensemble__inner_holdout,0.8607525959960202,101.61498454845746,78.17773713520448,193.13942446531905,120,0,11151653491565.908,0.400807419191239,0.2624383243824576,0.33675425642630347
44,-16,equal_offline,0.8618644738367593,101.20847824395862,76.95894837465603,193.9162148317578,120,0,11062608553934.475,,,
