seed,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
42,equal_offline,index=11.376320,376320.1201,above_onb,60,-101510316291.17575
42,equal_offline,index=12.434018,434018.0833,above_onb,60,-46567320463.68854
42,equal_offline,index=13.496023,496023.3525,above_onb,60,-55745456356.60893
42,equal_offline,index=14.562158,562158.7854,above_onb,60,-72771151131.6404
42,equal_offline,index=15.633482,633482.536,above_onb,60,-55251154912.52616
42,equal_offline,index=16.709792,709792.7143,above_onb,60,-86695712436.43068
42,equal_offline,index=17.789500,789500.1968,above_onb,60,-270222883259.8931
42,equal_offline,index=18.873637,873637.0359,above_onb,60,-506111104934.7481
42,equal_offline,index=2.2380,2380.025286,below_onb,60,-204729916258.93512
42,equal_offline,index=3.21242,21242.86319,below_onb,60,-136143521834.13461
42,equal_offline,index=4.58389,58389.85471,below_onb,60,-6388015336.942055
42,equal_offline,index=5.113188,113188.2901,below_onb,60,445523804580.376
42,equal_offline,index=6.146381,146381.6505,below_onb,60,871599114338.862
42,equal_offline,index=7.184190,184190.9699,below_onb,60,926394167718.5583
42,equal_offline,index=8.225704,225704.9618,below_onb,60,288455722310.4879
42,equal_offline,index=9.271677,271677.6816,near_onb,60,431208208188.06036
43,randomforest,index=1.0,-1.42e-06,below_onb,60,-40128641904.54576
43,randomforest,index=10.322114,322114.2428,above_onb,60,-86979997915.41196
43,randomforest,index=11.376320,376320.1201,above_onb,60,-99295906839.99796
43,randomforest,index=12.434018,434018.0833,above_onb,60,-6713967408.143465
43,randomforest,index=13.496023,496023.3525,above_onb,60,-3349332943.1668735
43,randomforest,index=14.562158,562158.7854,above_onb,60,4679102367.512884
43,randomforest,index=15.633482,633482.536,above_onb,60,-3079880119.4043055
43,randomforest,index=16.709792,709792.7143,above_onb,60,1873849662.0498433
43,randomforest,index=17.789500,789500.1968,above_onb,60,6291175160.412784
43,randomforest,index=18.873637,873637.0359,above_onb,60,4298596041.827276
43,randomforest,index=2.2380,2380.025286,below_onb,60,19118215373.990067
43,randomforest,index=3.21242,21242.86319,below_onb,60,-17856759744.134132
43,randomforest,index=4.58389,58389.85471,below_onb,60,-1526174278.876312
43,randomforest,index=5.113188,113188.2901,below_onb,60,-1024510185.6468614
43,randomforest,index=6.146381,146381.6505,below_onb,60,44334125625.97367
43,randomforest,index=7.184190,184190.9699,below_onb,60,48641764026.43232
43,randomforest,index=8.225704,225704.9618,below_onb,60,89714953162.27371
43,randomforest,index=9.271677,271677.6816,near_onb,60,-134948333453.13217
43,conformer,index=1.0,-1.42e-06,below_onb,60,64410092411.55007
43,conformer,index=10.322114,322114.2428,above_onb,60,-21913692064.823982
