before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
no_noise,-16,randomforest,index=3.21242,21242.86319,below_onb,60,-215883488980.93597
no_noise,-16,randomforest,index=4.58389,58389.85471,below_onb,60,-95171818937.55185
no_noise,-16,randomforest,index=5.113188,113188.2901,below_onb,60,136371913989.91086
no_noise,-16,randomforest,index=6.146381,146381.6505,below_onb,60,299630245182.63617
no_noise,-16,randomforest,index=7.184190,184190.9699,below_onb,60,436982875057.3348
no_noise,-16,randomforest,index=8.225704,225704.9618,below_onb,60,495675658380.56903
no_noise,-16,randomforest,index=9.271677,271677.6816,near_onb,60,480199153198.1222
no_noise,-16,conformer,index=1.0,-1.42e-06,below_onb,60,-15965783523772.021
no_noise,-16,conformer,index=10.322114,322114.2428,above_onb,60,-1048325865714.6996
no_noise,-16,conformer,index=11.376320,376320.1201,above_onb,60,-498173880437.0525
no_noise,-16,conformer,index=12.434018,434018.0833,above_onb,60,-383622663016.367
no_noise,-16,conformer,index=13.496023,496023.3525,above_onb,60,-382226136474.83154
no_noise,-16,conformer,index=14.562158,562158.7854,above_onb,60,-452025598268.66565
no_noise,-16,conformer,index=15.633482,633482.536,above_onb,60,-543515287719.90344
no_noise,-16,conformer,index=16.709792,709792.7143,above_onb,60,-454378484517.89105
no_noise,-16,conformer,index=17.789500,789500.1968,above_onb,60,-266847797678.53345
no_noise,-16,conformer,index=18.873637,873637.0359,above_onb,60,-2592550808.3887386
no_noise,-16,conformer,index=2.2380,2380.025286,below_onb,60,-15862213674198.904
no_noise,-16,conformer,index=3.21242,21242.86319,below_onb,60,-14955774572371.752
no_noise,-16,conformer,index=4.58389,58389.85471,below_onb,60,-12998736591291.834
no_noise,-16,conformer,index=5.113188,113188.2901,below_onb,60,-10011807761640.057
no_noise,-16,conformer,index=6.146381,146381.6505,below_onb,60,-8090627304296.115
no_noise,-16,conformer,index=7.184190,184190.9699,below_onb,60,-6495064897810.481
no_noise,-16,conformer,index=8.225704,225704.9618,below_onb,60,-4511657670845.931
no_noise,-16,conformer,index=9.271677,271677.6816,near_onb,60,-2599538976557.5146
no_noise,-16,alexnet,index=1.0,-1.42e-06,below_onb,60,-3923670991520.811
no_noise,-16,alexnet,index=10.322114,322114.2428,above_onb,60,1127298071603.5476
no_noise,-16,alexnet,index=11.376320,376320.1201,above_onb,60,291431448850.7008
